Iteration,log_10 Error
1072.000000,1.313114
1073.000000,1.306526
1074.000000,1.305058
1075.000000,1.303790
1076.000000,1.302882
1077.000000,1.300377
1078.000000,1.297344
1079.000000,1.292742
1080.000000,1.290427
1081.000000,1.289457
1082.000000,1.286726
1083.000000,1.282612
1084.000000,1.272218
1085.000000,1.269898
1086.000000,1.264482
1087.000000,1.255124
1088.000000,1.235994
1089.000000,1.164620
1090.000000,0.992929
1091.000000,0.985411
1092.000000,0.979317
1093.000000,0.974369
1094.000000,0.970170
1095.000000,0.966059
1096.000000,0.960557
1097.000000,0.958583
1098.000000,0.950995
1099.000000,0.946124
1100.000000,0.941168
1101.000000,0.935861
1102.000000,0.930632
1103.000000,0.925434
1104.000000,0.920225
1105.000000,0.909104
1106.000000,0.904535
1107.000000,0.897868
1108.000000,0.889605
1109.000000,0.880700
1110.000000,0.871579
1111.000000,0.868435
1112.000000,0.856429
1113.000000,0.841130
1114.000000,0.825100
1115.000000,0.714144
1116.000000,0.570386
1117.000000,-0.280407
1118.000000,-1.252050
1119.000000,-1.548308
1120.000000,-1.946227
1121.000000,-2.413915
1122.000000,-2.912123
1123.000000,-3.413169
1124.000000,-3.890793
1125.000000,-4.300774
1126.000000,-4.586582
1127.000000,-4.738146
1128.000000,-4.805725
1129.000000,-4.837721
1130.000000,-4.857290
1131.000000,-4.874956
1132.000000,-4.897257
1133.000000,-4.910299
1134.000000,-4.936598
1135.000000,-4.954319
1136.000000,-4.975022
1137.000000,-4.994668
1138.000000,-5.012075
1139.000000,-5.034569
1140.000000,-5.047105
1141.000000,-5.073798
1142.000000,-5.091671
1143.000000,-5.112032
1144.000000,-5.131954
1145.000000,-5.148775
1146.000000,-5.171748
1147.000000,-5.183307
1148.000000,-5.210802
1149.000000,-5.228962
1150.000000,-5.248756
1151.000000,-5.269150
1152.000000,-5.285054
1153.000000,-5.308790
1154.000000,-5.318888
1155.000000,-5.347603
1156.000000,-5.366187
1157.000000,-5.385174
1158.000000,-5.406246
1159.000000,-5.420876
1160.000000,-5.445683
1161.000000,-5.453791
1162.000000,-5.484176
1163.000000,-5.503338
1164.000000,-5.521248
1165.000000,-5.543229
1166.000000,-5.556179
1167.000000,-5.582402
1168.000000,-5.600181
1169.000000,-5.620489
1170.000000,-5.640405
1171.000000,-5.656927
1172.000000,-5.680081
1173.000000,-5.690882
1174.000000,-5.718920
1175.000000,-5.737317
1176.000000,-5.756487
1177.000000,-5.777367
1178.000000,-5.792124
1179.000000,-5.816772
1180.000000,-5.824858
1181.000000,-5.855188
1182.000000,-5.874372
1183.000000,-5.892103
1184.000000,-5.914202
1185.000000,-5.926737
1186.000000,-5.953265
1187.000000,-5.971172
1188.000000,-5.991155
1189.000000,-6.011326
1190.000000,-6.027254
1191.000000,-6.050882
1192.000000,-6.060645
1193.000000,-6.089517
1194.000000,-6.108223
1195.000000,-6.126746
1196.000000,-6.148155
1197.000000,-6.161830
1198.000000,-6.187365
1199.000000,-6.193680
1200.000000,-6.225466
1201.000000,-6.245172
1202.000000,-6.261870
1203.000000,-6.284827
1204.000000,-6.295694
1205.000000,-6.323606
1206.000000,-6.341998
1207.000000,-6.361041
1208.000000,-6.381997
1209.000000,-6.396420
1210.000000,-6.421304
1211.000000,-6.428686
1212.000000,-6.459544
1213.000000,-6.478945
1214.000000,-6.496148
1215.000000,-6.518664
1216.000000,-6.530255
1217.000000,-6.557536
1218.000000,-6.575724
1219.000000,-6.595105
1220.000000,-6.615766
1221.000000,-6.630674
1222.000000,-6.655135
1223.000000,-6.663206
1224.000000,-6.693464
1225.000000,-6.712667
1226.000000,-6.730193
1227.000000,-6.752427
1228.000000,-6.764476
1229.000000,-6.791358
1230.000000,-6.809416
1231.000000,-6.829008
1232.000000,-6.849483
1233.000000,-6.864692
1234.000000,-6.888889
1235.000000,-6.897383
1236.000000,-6.927271
1237.000000,-6.946355
1238.000000,-6.964073
1239.000000,-6.986138
1240.000000,-6.998457
1241.000000,-7.025100
1242.000000,-7.043083
1243.000000,-7.062795
1244.000000,-7.083164
1245.000000,-7.098540
1246.000000,-7.122589
1247.000000,-7.131311
1248.000000,-7.160997
1249.000000,-7.180017
1250.000000,-7.197833
1251.000000,-7.219810
1252.000000,-7.232260
1253.000000,-7.258786
1254.000000,-7.276732
1255.000000,-7.296498
1256.000000,-7.316818
1257.000000,-7.332262
1258.000000,-7.356249
1259.000000,-7.365055
1260.000000,-7.394662
1261.000000,-7.413659
1262.000000,-7.431503
1263.000000,-7.453453
1264.000000,-7.465932
1265.000000,-7.492429
1266.000000,-7.510368
1267.000000,-7.530137
1268.000000,-7.550452
1269.000000,-7.565890
1270.000000,-7.589878
1271.000000,-7.598661
1272.000000,-7.628283
1273.000000,-7.647287
1274.000000,-7.665106
1275.000000,-7.687075
1276.000000,-7.699505
1277.000000,-7.726039
1278.000000,-7.743993
1279.000000,-7.763727
1280.000000,-7.784070
1281.000000,-7.799446
1282.000000,-7.823484
1283.000000,-7.832160
1284.000000,-7.861868
1285.000000,-7.880904
1286.000000,-7.898658
1287.000000,-7.920680
1288.000000,-7.933000
1289.000000,-7.959624
1290.000000,-7.977610
1291.000000,-7.997280
1292.000000,-8.017676
1293.000000,-8.032946
1294.000000,-8.057072
1295.000000,-8.065577
1296.000000,-8.095426
1297.000000,-8.114513
1298.000000,-8.132168
1299.000000,-8.154272
1300.000000,-8.166435
1301.000000,-8.193190
1302.000000,-8.211221
1303.000000,-8.230803
1304.000000,-8.251273
1305.000000,-8.266403
1306.000000,-8.290646
1307.000000,-8.298928
1308.000000,-8.328963
1309.000000,-8.348114
1310.000000,-8.365646
1311.000000,-8.387854
1312.000000,-8.399821
1313.000000,-8.426740
1314.000000,-8.444828
1315.000000,-8.464302
1316.000000,-8.484862
1317.000000,-8.499823
1318.000000,-8.524208
1319.000000,-8.532227
1320.000000,-8.562482
1321.000000,-8.581710
1322.000000,-8.599099
1323.000000,-8.621427
1324.000000,-8.633170
1325.000000,-8.660277
1326.000000,-8.678430
1327.000000,-8.697783
1328.000000,-8.718445
1329.000000,-8.733216
1330.000000,-8.757761
1331.000000,-8.765484
1332.000000,-8.795987
1333.000000,-8.815302
1334.000000,-8.832530
1335.000000,-8.854993
1336.000000,-8.866486
1337.000000,-8.893804
